Bandwidth,ZeroCrossingRate,SilenceRatio,RMS,Energy,EnergyDistribution,SpectralCentroid,SpectralBandwidth,SpectralContrast,SpectralFlatness,isMusic
10558.21667,0.108618292,0.003849584,0.017566806,0.00052838,0.994526724,2398.656537,2529.903485,21.31758757,0.016122337,1
10583.55,0.131046107,0.005585034,0.019771198,0.000692075,0.995810912,2737.738159,2595.536319,21.48209539,0.035391014,1
10614.25,0.106866213,0.002025699,0.024365712,0.000932637,0.995271993,2199.574955,2323.148012,21.29931693,0.010971121,1
10632.01667,0.113310658,0.003460317,0.030909715,0.001380414,0.99391342,2175.869356,2220.015973,21.6359302,0.010951186,1
10575.25,0.115279667,0.002111111,0.023442691,0.000886062,0.993378131,2345.77535,2359.287535,21.78209563,0.01756245,1
10557.9,0.107900227,0.003206349,0.020117281,0.000626362,0.99447892,2302.643453,2391.836923,21.51345985,0.014023947,1
10597.86667,0.109721844,0.003814059,0.03426938,0.00146754,0.995752921,2016.190818,2076.674805,21.92735028,0.004533813,1
10621.61667,0.126357521,0.006128496,0.02660149,0.00121768,0.993328365,2414.986893,2339.702286,21.38803454,0.027385367,1
10728.8,0.197620559,0.011594104,0.035829037,0.001532976,0.898874899,2944.53322,2315.325634,23.3231767,0.030368602,1
10696.95,0.167426304,0.005981859,0.032422334,0.001314534,0.910831207,2779.30053,2322.463589,22.97688361,0.01467876,1
10722.51667,0.188616024,0.008303855,0.03680962,0.001619079,0.883139185,2919.859227,2296.313317,23.34308252,0.020282062,1
10722.33333,0.172566138,0.004975813,0.03641601,0.001557291,0.91155979,2778.794529,2254.74805,23.18938492,0.012876894,1
10739.05,0.162154951,0.007130763,0.0330484,0.001344582,0.916192131,2742.348559,2321.751195,23.2881424,0.012418393,1
10716.31667,0.172962963,0.006333333,0.031986985,0.001259599,0.895090525,2727.079032,2274.576216,23.19410899,0.021658393,1
10705.8,0.195972789,0.016091459,0.036971327,0.00156791,0.893150748,2953.483825,2346.87437,23.64813593,0.017256942,1
